"";"PROBEID";"ENTREZID";"SYMBOL";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"111";"10461869";"353211";"Prune2";3,44121982088236;8,30484301719047;15,8755792986308;1,17582602630303e-08;4,51401209817865e-07;10,5429444216272
"112";"10553450";"338352";"Nell1";4,80628144301084;7,54113209361245;15,8214522342588;1,21698251182658e-08;4,61355325160122e-07;10,5076570891908
"113";"10446282";"13733";"Adgre1";-3,84043663886684;7,7101109652593;-15,6211027297966;1,38357881516486e-08;5,0629599489947e-07;10,3759463795328
"114";"10593499";"330941";"AI593442";3,37804826364865;8,02716193051407;15,5626633275224;1,43674977804193e-08;5,21157725243698e-07;10,3371993524469
"115";"10514240";"76376";"Slc24a2";3,4602643070186;7,21633274328576;15,4750682922192;1,52067276008804e-08;5,39945919462247e-07;10,2788398247739
"116";"10380067";"18952";"Septin4";3,3362346776663;8,34743197507018;15,2859270689512;1,72073525359785e-08;5,98341182664853e-07;10,1516602553309
"117";"10601701";"67564";"Tmem35a";3,0608401262469;8,05248880725119;15,2350324848625;1,77935448494312e-08;6,10306483883212e-07;10,1171631705854
"118";"10397645";"14744";"Gpr65";-3,07057076795835;6,59711654623447;-15,0699370343726;1,98502318376478e-08;6,49901746268962e-07;10,0044436352926
"119";"10362363";"67412";"Soga3";3,79695574648107;7,48599113435889;15,0582036864059;2,00059797185134e-08;6,50775159617708e-07;9,99638480622855
"120";"10428388";"239405";"Rspo2";-3,31116975757571;8,99401682450445;-15,0237379144072;2,04712428460702e-08;6,61641066858244e-07;9,97267563940861
"121";"10435704";"12519";"Cd80";-3,03920213119593;7,1033517799012;-14,9565442940429;2,14126378200918e-08;6,74765749305642e-07;9,92629343881925
"122";"10522208";"22223";"Uchl1";3,31702872974731;9,77492734437629;14,8795584161805;2,25497081763847e-08;7,05697695991338e-07;9,87289115694384
"123";"10598493";"30052";"Pcsk1n";3,26360523023536;9,11227520418035;14,5850960004538;2,75476095100386e-08;8,16960592868768e-07;9,66602219238549
"124";"10560242";"12273";"C5ar1";-3,21374573334329;8,01208935342227;-14,5766732364923;2,77073108648471e-08;8,16960592868768e-07;9,66004317067291
"125";"10606789";"66104";"Tceal6";3,60458630804028;6,62107197699693;14,5520471897828;2,81800617955678e-08;8,26069020774725e-07;9,64254206496642
"126";"10523128";"57349";"Ppbp";-3,75742840108907;7,16008576458143;-14,5423039301024;2,83695293739443e-08;8,26815994817497e-07;9,63560955706914
"127";"10550400";"434128";"Pnmal2";3,96096434525382;8,93527331274533;14,4496745022217;3,02418722386399e-08;8,70473662224389e-07;9,56946811228921
"128";"10595211";"12816";"Col12a1";-3,40802605932628;10,1847839467601;-14,4428320500973;3,03854352541635e-08;8,70473662224389e-07;9,56456544536283
"129";"10358457";"406217";"Bex4";3,95725278101615;6,7456915096804;14,4021957732008;3,12535069006281e-08;8,85281920185208e-07;9,5354012159213
"130";"10599187";"72693";"Zcchc12";3,74741298414934;7,54498980858271;14,3368741639427;3,27061581321831e-08;9,16135829458152e-07;9,48834750715541
"131";"10463732";"226180";"Ina";3,98084655154627;8,14855551925766;14,2626842351173;3,44459867265105e-08;9,59010140921851e-07;9,43464500641018
"132";"10368289";"18605";"Enpp1";-3,2118762843342;8,97577530232094;-14,2556059205534;3,4617184777425e-08;9,59010140921851e-07;9,4295067929944
